Infosatz;Material;Lieferant;LKA;Kurztext;UrL;Lieferantenmaterialnr.
5300041721;6616;77020;;;;
5300041922;7247;77020;;;;
5300042049;5785;77020;;;;
5300042299;5590;77020;;;;
5300042450;7242;77020;;;;
5300042451;6736;77020;;;;
5300042618;9341;77020;;;;
5300042789;3315;77020;;;;
5300042810;5677;77020;;;;
5300042811;9800;77020;;;;
5300043242;9725;77020;;;;
5300043396;4693;77020;;;;
5300043455;5531;77020;;;;
5300043456;6593;77020;;;;
5300043542;3238;77020;;;;
5300043877;3160;77020;;;;
5300043945;3587;77020;;;;
5300043946;5844;77020;;;;
5300043947;3510;77020;;;;
5300043948;6635;77020;;;;
5300043949;6690;77020;;;;
5300044722;5180;77020;;;DE;
5300044739;5798;77020;;;;
5300044744;5427;77020;;;;
5300045627;3537;77020;;;;
5300038001;3270;77020;;;DE;
5300046133;7080;77020;;;;
5300013175;6865;77020;;;DE;
5300046202;4857;77020;;;;
5300046454;6415;77020;;;;
5300046489;4791;77020;;;;
5300046501;4790;77020;;;;
5300046579;3359;77020;;;;
5300046681;6825;77020;;;;
5300046925;6462;77020;;;;
5300046926;4735;77020;;;;
5300046685;3614;77020;;;;
5300032610;6101;77020;;;DE;
5300047037;3539;77020;;;;
5300046687;5178;77020;;;;
5300047039;6553;77020;;;;
5300047336;4787;77020;;;;
5300047391;7375;77020;;;;
5300047413;3034;77020;;;;
5300047414;6053;77020;;;;
5300047550;4904;77020;;;;
5300047898;6800;77020;;;;
5300047602;4909;77020;;;;
5300047604;4788;77020;;;;
5300016323;6946;77020;;;DE;
5300048060;6608;77020;;;;
5300048154;6806;77020;;;;
5300048791;7544;77020;;;;
5300049287;6575;77020;;;;
5300049332;7169;77020;;;;
5300049460;5927;77020;;;;
5300049461;6136;77020;;;;
5300040477;4749;77020;;;DE;
5300049863;6343;77020;;;;
5300043803;7253;77020;;;DE;
5300050067;3210;77020;;;;
5300050068;7728;77020;;;;
5300050069;5924;77020;;;;
5300050090;B021;77020;;;;
5300050083;4313;77020;;;;
5300050077;5545;77020;;;;
5300050094;4901;77020;;;;
5300050365;6251;77020;;;;
5300046570;3621;77020;;;DE;
5300051493;5087;77020;;;;
5300051673;5806;77020;;;;
5300051708;6197;77020;;;;
5300051863;7170;77020;;;;
5300051960;5869;77020;;;;
5300051961;3024;77020;;;;
5300051963;7081;77020;;;;
5300046500;3338;77020;;;DE;
5300052260;7152;77020;;;;
5300052293;4587;77020;;;;
5300052407;4789;77020;;;;
5300052798;3208;77020;;;;
5300052799;3207;77020;;;;
5300053452;6919;77020;;;;
5300053463;8866;77020;;;;
5300053465;6940;77020;;;;
5300053843;5961;77020;;;;
5300053864;8360;77020;;;;
5300053575;8831;77020;;;;
5300046572;4428;77020;;;DE;
5300054121;4839;77020;;;;
5300054505;7823;77020;;;DE;
5300054601;4932;77020;;;;
5300054346;6900;77020;;;;
5300054628;6577;77020;;;;
5300054898;7082;77020;;;;
5300054972;7644;77020;;;DE;
5300054973;7645;77020;;;DE;
5300054903;6496;77020;;;;
5300003571;7207;77020;;;JP;
5300003572;7206;77020;X;;CE;
5300003576;6501;77020;;;ZZ;
5300003578;7205;77020;X;;CE;
5300003583;6961;77020;;;US;
5300003617;6513;77020;;;CE;
5300003643;5955;77020;;;CE;
5300003660;5938;77020;;;DE;
5300003661;6979;77020;;;DE;
5300003662;5540;77020;X;;CE;
5300003663;8803;77020;;;CE;
5300003665;6441;77020;X;;CE;
5300003667;5501;77020;X;;JP;
5300003682;6442;77020;X;;CE;
5300003689;6601;77020;;;CE;
5300003690;6219;77020;;;CE;
5300003691;5262;77020;;;CE;
5300003697;6712;77020;;;CE;
5300003698;6038;77020;;;CE;
5300003701;5028;77020;;;DE;
5300003766;6510;77020;;;ZZ;
5300003773;6958;77020;;;CE;
5300003777;6803;77020;;;DE;
5300003781;5049;77020;X;;CE;
5300003789;6753;77020;;;DE;
5300003790;6227;77020;;;CE;
5300003792;5702;77020;;;DE;
5300003796;6660;77020;;;FR;
5300003827;5033;77020;;;DE;
5300003844;5063;77020;;;DE;
5300003857;6560;77020;;;ZZ;
5300003858;6963;77020;;;US;
5300003864;5959;77020;;;CE;
5300003899;5951;77020;;;DE;
5300003922;8614;77020;;;DE;
5300003941;6842;77020;;;FR;
5300003943;6226;77020;;;CE;
5300003944;6951;77020;;;NL;
5300003947;6844;77020;;;DE;
5300003951;6619;77020;;;DE;
5300003952;5011;77020;;;DE;
5300003971;5933;77020;;;CE;
5300003976;8386;77020;;;ES;
5300003977;5972;77020;;;US;
5300003978;5992;77020;;;CE;
5300003987;5236;77020;;;DE;
5300003988;5528;77020;;;DE;
5300003989;6956;77020;X;;DE;
5300003990;5117;77020;;;DE;
5300003996;8309;77020;X;;CE;
5300004000;6714;77020;;;DE;
5300004015;6371;77020;;;CE;
5300004016;6621;77020;;;NL;
5300004018;6012;77020;;;DE;
5300004019;6015;77020;;;DE;
5300004038;5400;77020;;;DE;
5300004101;5017;77020;;;CA;
5300004131;4837;77020;;;CE;
5300004139;6477;77020;;;ES;
5300004148;6362;77020;;;DE;
5300004153;8810;77020;;;GB;
5300004155;8851;77020;;;ZZ;
5300004156;6796;77020;;;GB;
5300004158;6571;77020;;;CE;
5300004202;5966;77020;X;;CE;
5300004218;6927;77020;X;;FR;
5300004219;8839;77020;;;ZZ;
5300004223;6327;77020;;;DE;
5300004263;6391;77020;;;DE;
5300004281;5974;77020;;;AT;
5300004302;5625;77020;;;CE;
5300004328;7907;77020;;;CE;
5300004330;8212;77020;;;CE;
5300004334;6872;77020;;;PL;
5300004338;5035;77020;;;DE;
5300004350;8320;77020;;;ZZ;
5300004375;5805;77020;;;CE;
5300004395;5072;77020;;;DE;
5300004398;6401;77020;;;CE;
5300004426;4813;77020;;;CE;
5300004427;5048;77020;;;DE;
5300004428;6772;77020;;;DE;
5300004429;8841;77020;;;CE;
5300004432;6019;77020;;;DE;
5300004434;4836;77020;;;DE;
5300004435;5050;77020;;;DE;
5300004452;6822;77020;X;;DE;
5300004455;5266;77020;;;CE;
5300004473;6889;77020;;;US;
5300004488;5203;77020;;;CE;
5300004518;6820;77020;;;DE;
5300004523;5230;77020;;;CE;
5300004549;5723;77020;;;DE;
5300004551;6976;77020;;;DE;
5300004560;6014;77020;;;CE;
5300004575;6993;77020;;;DE;
5300004579;6542;77020;;;US;
5300004595;8867;77020;;;CH;
5300004596;8885;77020;;;CH;
5300004603;5068;77020;;;DE;
5300004615;8872;77020;;;CH;
5300004661;6735;77020;;;CE;
5300004692;6957;77020;;;CH;
5300004701;5950;77020;;;US;
5300004705;6632;77020;;;IN;
5300004706;6977;77020;;;FR;
5300004710;5519;77020;;;DE;
5300004722;4201;77020;;;ZZ;
5300004734;6738;77020;;;CE;
5300004758;6220;77020;;;CE;
5300004759;6983;77020;;;DE;
5300004761;6346;77020;;;ZZ;
5300004775;6929;77020;;;US;
5300004777;7000;77020;;;DE;
5300004780;6752;77020;;;CE;
5300004785;5958;77020;;;GB;
5300004805;5729;77020;;;DE;
5300004812;5919;77020;;;DE;
5300004906;5925;77020;;;DE;
5300004909;5077;77020;;;DE;
5300004913;4835;77020;;;GB;
5300004933;6480;77020;;;DE;
5300004958;8844;77020;;;CE;
5300004959;6489;77020;X;;ES;
5300004960;5971;77020;;;GB;
5300004970;6987;77020;;;DE;
5300005015;6644;77020;;;DE;
5300005017;6427;77020;;;DE;
5300005091;6504;77020;;;CE;
5300005298;6373;77020;;;CE;
5300005361;6050;77020;;;DE;
5300005432;6875;77020;;;DE;
5300005516;6436;77020;;;CE;
5300005602;5911;77020;;;DE;
5300005770;3400;77020;;;DE;
5300005869;5709;77020;;;DE;
5300005885;6885;77020;;;DE;
5300005929;6622;77020;;;FR;
5300006006;7901;77020;;;BE;
5300006013;8892;77020;;;IN;
5300006021;6311;77020;;;DE;
5300006070;5717;77020;;;DE;
5300006112;5406;77020;;;BR;
5300006128;6387;77020;;;CE;
5300006133;5515;77020;;;DE;
5300006135;8877;77020;;;DE;
5300006160;6515;77020;;;ZZ;
5300006176;6729;77020;;;DE;
5300006197;8371;77020;;;NL;
5300006199;6810;77020;;;DE;
5300006270;9201;77020;;;NO;
5300006297;5428;77020;;;DE;
5300006427;5906;77020;X;;ZZ;
5300006510;5060;77020;;;DE;
5300006530;8823;77020;;;DE;
5300006533;5948;77020;;;DE;
5300006541;8611;77020;;;DE;
5300006546;6681;77020;;;DE;
5300006547;8367;77020;;;NL;
5300006614;6997;77020;;;AT;
5300006629;6932;77020;;;CE;
5300006751;6959;77020;;;CE;
5300006922;6066;77020;;;CE;
5300007238;5963;77020;;;NO;
5300007356;5520;77020;;;CE;
5300007522;6984;77020;;;CE;
5300007581;6998;77020;X;;CE;
5300007692;5999;77020;X;;DE;
5300007849;6026;77020;;;GB;
5300007883;6955;77020;;;CE;
5300007903;6000;77020;X;;CE;
5300008003;6538;77020;;;ZZ;
5300008046;5942;77020;;;FR;
5300008139;5218;77020;X;;CH;
5300008146;6211;77020;;;CE;
5300008191;8845;77020;;;US;
5300008304;5721;77020;;;ZZ;
5300008982;5041;77020;X;;CE;
5300009302;6613;77020;;;BE;
5300010303;6785;77020;;;CE;
5300010390;6813;77020;;;US;
5300010590;5533;77020;;;CN;
5300011071;6728;77020;;;US;
5300011073;6525;77020;;;CN;
5300011120;6659;77020;;;US;
5300011124;8384;77020;;;CE;
5300011241;6309;77020;;;CN;
5300011254;8833;77020;;;AT;
5300011286;4821;77020;;;IT;
5300011287;4441;77020;;;CN;
5300011369;4696;77020;;;CE;
5300011410;4684;77020;;;CE;
5300011500;4841;77020;;;IT;
5300011511;4872;77020;;;CE;
5300011561;6697;77020;;;US;
5300011767;5905;77020;X;;CE;
5300011905;6573;77020;;;ZZ;
5300011924;6937;77020;;;NL;
5300011949;6970;77020;;;CE;
5300011954;4420;77020;;;CE;
5300012036;6509;77020;;;ZZ;
5300012088;4823;77020;;;IT;
5300012089;5922;77020;;;AT;
5300012118;6561;77020;;;CE;
5300012130;9810;77020;;;CH;
5300012147;6758;77020;;;ZZ;
5300012201;3602;77020;;;FR;
5300012227;3603;77020;;;CE;
5300012266;6888;77020;;;CE;
5300012284;4842;77020;X;;TW;
5300012313;4889;77020;;;FR;
5300012314;5912;77020;;;CE;
5300012370;7904;77020;;;NL;
5300012390;6793;77020;;;CE;
5300012402;6854;77020;;;ZZ;
5300012403;5121;77020;;;CE;
5300012428;9823;77020;;;NL;
5300012431;5529;77020;;;CE;
5300012433;4703;77020;;;ZZ;
5300012513;3180;77020;;;CE;
5300012524;6817;77020;;;CE;
5300012528;6718;77020;X;;CE;
5300012627;3254;77020;X;;CE;
5300012632;5726;77020;;;CE;
5300012680;9726;77020;;;NL;
5300012701;4840;77020;;;NL;
5300012728;6911;77020;X;;CE;
5300012862;5557;77020;;;CE;
5300012968;9813;77020;X;;ZZ;
5300012990;6661;77020;;;ZZ;
5300013142;9811;77020;;;;
5300013180;6667;77020;;;CE;
5300013238;5548;77020;X;;DE;
5300013239;7201;77020;;;US;
5300013541;5754;77020;;;;
5300013619;6514;77020;;;ZZ;
5300013788;5730;77020;;;;
5300013794;6848;77020;;;CA;
5300013815;8601;77020;;;CE;
5300013850;5741;77020;;;;
5300014120;6861;77020;X;;;
5300014277;6534;77020;;;ZZ;
5300014312;9719;77020;;;ZZ;
5300014389;9700;77020;;;IN;
5300014715;6221;77020;;;ZZ;
5300014729;7906;77020;;;US;
5300015096;8340;77020;;;CE;
5300015156;4827;77020;;;CH;
5300015168;6994;77020;;;US;
5300015234;6945;77020;;;US;
5300015236;9203;77020;;;;
5300015280;8350;77020;;;CE;
5300015300;8827;77020;;;IT;
5300015301;6663;77020;X;;;
5300015308;5814;77020;;;GB;
5300015506;5439;77020;;;;
5300015549;9708;77020;;;US;
5300015614;6503;77020;;;ZZ;
5300015939;8615;77020;;;FI;
5300016229;4591;77020;;;GB;
5300016434;6520;77020;;;CE;
5300016691;6065;77020;;;ES;
5300016694;6392;77020;;;JP;
5300016697;9808;77020;;;IN;
5300016765;6974;77020;;;GB;
5300016812;4890;77020;;;;
5300016817;8848;77020;;;FR;
5300016859;6939;77020;;;CE;
5300016906;6707;77020;;;CE;
5300016975;4592;77020;;;US;
5300017379;4898;77020;;;FR;
5300017412;3009;77020;;;CE;
5300017416;4605;77020;;;FR;
5300017529;4526;77020;;;CH;
5300017571;5546;77020;;;CH;
5300017582;3007;77020;;;US;
5300017583;3093;77020;;;FI;
5300017633;6677;77020;;;CE;
5300017870;6640;77020;;;CE;
5300017871;4633;77020;;;CN;
5300017967;6443;77020;;;ES;
5300017975;6099;77020;;;GB;
5300018086;3617;77020;;;IT;
5300018087;3618;77020;;;IT;
5300018088;3619;77020;;;IT;
5300018089;3620;77020;;;IT;
5300018108;5099;77020;;;US;
5300018109;3299;77020;;;US;
5300018308;5139;77020;;;CE;
5300018323;3113;77020;X;;;
5300018324;5743;77020;;;ZZ;
5300018432;5080;77020;;;CE;
5300018433;5045;77020;;;CE;
5300018657;5086;77020;;;US;
5300018689;5093;77020;X;;CE;
5300018709;5929;77020;;;FR;
5300018747;5123;77020;;;;
5300019018;5541;77020;;;US;
5300019111;8847;77020;;;NL;
5300019132;6877;77020;;;US;
5300019188;6841;77020;X;;DE;
5300019379;3316;77020;;;US;
5300019510;3164;77020;;;CE;
5300019651;7117;77020;;;FR;
5300019669;6832;77020;;;CH;
5300019679;3006;77020;X;;;
5300019709;6484;77020;;;NO;
5300019710;6095;77020;X;;;
5300019748;6027;77020;;;US;
5300019767;5181;77020;X;;;
5300020052;3012;77020;;;FI;
5300020071;8383;77020;;;NL;
5300020298;4843;77020;;;TW;
5300020357;3229;77020;;;CE;
5300020635;6202;77020;;;CE;
5300020674;3114;77020;;;FR;
5300020675;4598;77020;;;BE;
5300021499;5810;77020;;;JP;
5300021529;3065;77020;;;CE;
5300021578;3263;77020;;;US;
5300021711;6947;77020;;;US;
5300022195;5425;77020;X;;JP;
5300022196;6210;77020;;;CE;
5300022197;6805;77020;;;CE;
5300022237;5931;77020;;;JP;
5300022238;5421;77020;;;US;
5300022358;5116;77020;;;CE;
5300022371;5081;77020;;;JP;
5300022372;5186;77020;;;JP;
5300022373;5187;77020;;;JP;
5300022374;5627;77020;;;JP;
5300022870;5812;77020;;;CE;
5300023081;5536;77020;;;US;
5300023428;6869;77020;;;US;
5300023672;5202;77020;;;CE;
5300023794;4590;77020;;;GB;
5300024319;3615;77020;;;SE;
5300024606;6341;77020;;;NL;
5300024841;8858;77020;;;CE;
5300025117;6240;77020;X;;;
5300025225;6507;77020;;;;
5300025317;6430;77020;;;CE;
5300025399;4732;77020;;;US;
5300025448;6535;77020;;;CE;
5300025493;6550;77020;;;;
5300025563;6231;77020;;;;
5300025608;4694;77020;;;CH;
5300025609;4429;77020;;;CH;
5300025630;4550;77020;;;CH;
5300026254;4450;77020;;;AT;
5300026305;8389;77020;;;US;
5300026311;4818;77020;;;;
5300026333;6989;77020;;;US;
5300026456;4942;77020;;;;
5300027020;3365;77020;X;;;
5300027158;5043;77020;;;;
5300027183;6435;77020;X;;;
5300027365;5509;77020;;;JP;
5300027440;6818;77020;;;ES;
5300027810;5215;77020;X;;;
5300027906;4614;77020;;;ZZ;
5300028332;3231;77020;;;TW;
5300028383;3578;77020;;;;
5300028710;4711;77020;X;;;
5300028972;3591;77020;;;;
5300029292;6654;77020;;;;
5300029613;6456;77020;;;CH;
5300029841;4863;77020;;;NL;
5300029866;3567;77020;;;;
5300029995;3301;77020;;;;
5300030139;6853;77020;;;CE;
5300030959;5233;77020;;;CE;
5300031231;6031;77020;;;;
5300031401;5551;77020;;;;
5300031404;8853;77020;;;NL;
5300031822;4567;77020;;;;
5300032234;3004;77020;;;CE;
5300032425;3368;77020;;;;
5300032842;6757;77020;;;;
5300033004;6124;77020;;;;
5300033386;9824;77020;X;;;
5300033726;5001;77020;X;;CE;
5300033813;4771;77020;;;;
5300033954;5503;77020;;;;
5300034040;5095;77020;;;;
5300034044;4809;77020;;;;
5300035340;6615;77020;;;;
5300035361;5038;77020;;;;
5300035722;5867;77020;X;;;
5300035937;4484;77020;;;;
5300036035;3342;77020;;;;
5300036472;6384;77020;;;US;
5300037041;6318;77020;;;;
5300037044;6543;77020;;;;
5300037047;3272;77020;;;DE;
5300038354;6217;77020;;;;
5300039241;3010;77020;;;;
5300039619;4945;77020;;;;
5300039855;4968;77020;;;DE;
5300040160;6519;77020;;;;
5300041220;4663;77020;;;;
5300041501;4407;77020;X;;;
5300041610;8870;77020;;;;
5300042571;6403;77020;;;;
5300042692;9819;77020;;;;
5300042807;3336;77020;;;;
5300042845;8802;77020;;;;
5300043101;6047;77020;;;;
5300043102;6482;77020;;;;
5300043244;3629;77020;;;;
5300043391;3519;77020;;;;
5300043544;6077;77020;;;;
5300043554;6150;77020;;;;
5300043878;6777;77020;;;;
5300044021;3233;77020;;;;
5300044176;3382;77020;;;;
5300044256;5706;77020;;;;
5300044287;7071;77020;;;;
5300045419;4412;77020;;;;
5300045702;3562;77020;;;;
5300045722;3042;77020;;;;
5300045802;7456;77020;;;;
5300046065;4144;77020;;;;
5300046190;7470;77020;;;;
5300046220;4937;77020;;;;
5300046573;6558;77020;;;;
5300046610;6648;77020;;;;
5300006014;6532;77020;;;CE;
5300046684;3343;77020;;;;
5300047000;B014;77020;;;;
5300047070;7533;77020;;;;
5300047044;4615;77020;;;;
5300047045;7542;77020;;;;
5300047280;3211;77020;;;;
5300047281;4462;77020;;;;
5300047431;4001;77020;;;;
5300047415;7535;77020;;;;
5300047603;7622;77020;;;;
5300009038;5983;77020;;;FR;
5300041734;4435;77020;;;CH;
5300048061;5795;77020;;;;
5300045497;5982;77020;;;FR;
5300048153;6078;77020;;;;
5300035144;5156;77020;;;DE;
5300040165;6653;77020;;;FR;
5300035892;6186;77020;;;CH;
5300018719;5981;77020;;;US;
5300037351;4986;77020;;;CH;
5300041225;4409;77020;;;CH;
5300041057;3631;77020;;;CH;
5300014234;6629;77020;;;GB;
5300048410;6750;77020;;;DE;
5300039441;6043;77020;;;DE;
5300035088;3506;77020;;;US;
5300043412;6161;77020;;;AT;
5300014542;3606;77020;X;;;
5300045800;6444;77020;;;GB;
5300044951;4756;77020;;;NL;
5300044952;5878;77020;;;NL;
5300033751;3367;77020;;;DE;
5300050220;3552;77020;;;FR;
5300046037;7459;77020;;;IN;
5300004735;6408;77020;X;;DE;
5300049077;6075;77020;X;;;
5300052043;4458;77020;;;;
5300052890;7751;77020;;;;
5300044185;6081;77020;;;BE;
5300052824;3287;77020;;;;
5300053180;7274;77020;;;;
5300053464;6892;77020;;;;
5300028330;5260;77020;;;IT;
5300053795;5840;77020;;;;
5300045224;7243;77020;;;CN;
5300046571;5135;77020;;;AT;
5300042452;4321;77020;;;NL;
5300047609;6864;77020;;;AT;
5300054900;6884;77020;;;;
5300054901;4766;77020;;;;
5300016184;3117;77020;;;NL;
5300003641;6811;77020;;;GB;
5300018379;5526;77020;;;;
5300046201;6201;77020;;;;
5300026607;6416;77020;;;DE;
5300007901;4207;77020;;;CE;
5300016111;6559;77020;;;CE;
5300019643;6214;77020;;;CE;
5300028652;6565;77020;;;CE;
5300003674;0061;77020;X;;DE;
5300003675;0407;77020;;;DE;
5300003812;0067;77020;;;DE;
5300003888;0011;77020;;;CE;
5300003896;0048;77020;;;CE;
5300003900;0071;77020;X;;CE;
5300003946;0029;77020;;;CE;
5300003959;0008;77020;;;CE;
5300003995;0040;77020;;;CE;
5300004146;0001;77020;X;;CE;
5300004542;1195;77020;;;CE;
5300004562;0022;77020;;;CE;
5300004681;0074;77020;;;DE;
5300004691;1403;77020;X;;CE;
5300004768;0021;77020;;;CE;
5300004806;0044;77020;;;CE;
5300004813;0042;77020;X;;CE;
5300005660;0046;77020;;;CE;
5300005782;0761;77020;;;CE;
5300005921;1571;77020;;;DE;
5300006254;0099;77020;;;DE;
5300006557;0056;77020;;;CE;
5300006711;0064;77020;;;DE;
5300007345;1456;72361;;;;
5300007523;1034;41124;;;;
5300008587;1713;93391;;;;
5300009221;6508;77020;;;ZZ;
5300009862;4533;64165;;;;
5300009941;4650;41333;;;;
5300010278;1627;77020;;;CE;
5300010523;1712;65008;;;;
5300010800;5167;82031;;;;
5300011045;0066;77020;;;DE;
5300011135;0047;77020;;;CE;
5300011339;3148;64178;;;;
5300011340;3300;64178;;;;
5300011363;0050;77020;;;CE;
5300011392;1628;77020;;;CE;
5300011962;0075;77020;;;DE;
5300012082;0399;63090;;;;
5300012658;1652;77020;;;;
5300012659;1607;77020;;;;
5300013211;6988;77030;;;;
5300013320;8204;77030;;;;
5300013406;5154;82031;;;;
5300013407;1194;77020;;;CE;
5300013615;0933;77020;X;;CE;
5300014122;9358;77700;;;;
5300014124;9234;77700;;;;
5300014125;9366;77700;;;;
