Material;Werk;BewertArt;Materialkurztext;Ltz. Änd;MArt;Warengrp;BME;EKG;ABC;DMk;BewKl;Prs;Preis;Währg;pro;Angelegt;Preisänd.;_1
5734;300;;Iriodin 9504 Red WR;15.09.2025;ROH;2043;KG;30;D;PD;3000;V;3000;EUR;1000;ROLF;;
5735;200;;(Z) Sicomin Rot L 3125;03.06.2025;ROH;2013;KG;9;Z;ND;3000;V;5920;EUR;1000;ROLF;;
5735;300;;(Z) Sicomin Rot L 3125;03.06.2025;ROH;2013;KG;9;Z;ND;3000;V;5910;EUR;1000;ROLF;;
5736;200;;(U) Orasol Rot 365;03.06.2025;ROH;2100;KG;20;K;PD;3000;V;0;EUR;1000;ROLF;;
5736;300;;(U) Orasol Rot 365;03.06.2025;ROH;2100;KG;30;K;ND;3000;V;0;EUR;1000;ROLF;;
5737;200;;(U) Orasol orange 245;03.06.2025;ROH;2100;KG;9;Z;ND;3000;V;63140;EUR;1000;ROLF;;
5737;300;;(U) Orasol orange 245;03.06.2025;ROH;2100;KG;9;Z;ND;3000;V;63110;EUR;1000;ROLF;;
5738;200;;Irgazin Rubine L 4030;07.08.2025;ROH;2013;KG;20;B;PD;3000;V;101532,98;EUR;1000;SZEGEDI;;
5738;300;;Irgazin Rubine L 4030;07.08.2025;ROH;2013;KG;30;Z;PD;3000;V;90153,33;EUR;1000;SZEGEDI;;
5739;200;;(Z) ORASOL ROT BL;03.06.2025;ROH;2100;KG;9;Z;ND;3000;V;86900;EUR;1000;ROLF;;
5739;300;;(Z) ORASOL ROT BL;03.06.2025;ROH;2100;KG;9;Z;ND;3000;V;84000;EUR;1000;ROLF;;
5740;200;;(U) Bonithol Rot M 4844 C;30.09.2025;ROH;2013;KG;9;Z;ND;3000;V;17659,6;EUR;1000;ROLF;;
5740;300;;(U) Bonithol Rot M 4844 C;30.09.2025;ROH;2013;KG;9;Z;ND;3000;V;15590;EUR;1000;ROLF;;
5740;800;;(U) Bonithol Rot M 4844 C;30.09.2025;ROH;2013;KG;9;Z;ND;3000;V;15590,77;EUR;1000;ROLF;;
5740;810;;(U) Bonithol Rot M 4844 C;30.09.2025;ROH;2013;KG;999;B;PD;3000;V;0;EUR;1000;ROLF;;
5741;200;;(X) Lysopac Orange 3420 C;30.09.2025;ROH;2012;KG;20;K;PD;3000;V;27367,4;EUR;1000;ROLF;;
5741;300;;(X) Lysopac Orange 3420 C;30.09.2025;ROH;2012;KG;30;K;PD;3000;V;27208,25;EUR;1000;ROLF;;
5741;800;;(X) Lysopac Orange 3420 C;30.09.2025;ROH;2012;KG;80;K;PD;3000;V;27778,22;EUR;1000;ROLF;;
5741;810;;(X) Lysopac Orange 3420 C;30.09.2025;ROH;2012;KG;999;B;PD;3000;V;0;EUR;1000;ROLF;;
5742;200;;Bayferrox 222 Standard 96;03.06.2025;ROH;2013;KG;20;C;PD;3000;V;2500;EUR;1000;ROLF;;
5742;300;;Bayferrox 222 Standard 96;03.06.2025;ROH;2013;KG;30;C;V2;3000;V;3759,83;EUR;1000;ROLF;;
5743;200;;(P) Irgazin Rot L 3670 HD;10.10.2025;ROH;2013;KG;20;D;PD;3000;V;17221,47;EUR;1000;ROLF;;
5743;2250;;(P) Irgazin Rot L 3670 HD;10.10.2025;ROH;2013;KG;221;;PD;3000;V;29944,51;USD;1000;ROLF;;
5743;2830;;(P) Irgazin Rot L 3670 HD;10.10.2025;ROH;2013;KG;296;D;PD;3000;V;233,54;CNY;1000;ROLF;;
5743;2850;;(P) Irgazin Rot L 3670 HD;10.10.2025;ROH;2013;KG;296;D;PD;3000;V;233,63;CNY;1;ROLF;;
5743;300;;(P) Irgazin Rot L 3670 HD;10.10.2025;ROH;2013;KG;30;D;PD;3000;V;17518,84;EUR;1000;ROLF;;
5743;800;;(P) Irgazin Rot L 3670 HD;10.10.2025;ROH;2013;KG;80;D;V2;3000;V;17238,28;EUR;1000;ROLF;;
5744;200;;(Z) SAVINYL ROT 2 BLSE FARBST.;03.06.2025;ROH;2100;KG;9;Z;ND;3000;V;67000;EUR;1000;ROLF;;
5744;300;;(Z) SAVINYL ROT 2 BLSE FARBST.;03.06.2025;ROH;2100;KG;9;Z;ND;3000;V;62000;EUR;1000;ROLF;;
5745;200;;Iriodin 9211 Rutile Fine Red SW;30.09.2025;ROH;2043;KG;20;A;PD;3000;V;64202,52;EUR;1000;SZEGEDI;;
5745;2250;;Iriodin 9211 Rutile Fine Red SW;30.09.2025;ROH;2043;KG;221;D;PD;3000;V;0;USD;1000;SZEGEDI;;
5745;2310;;Iriodin 9211 Rutile Fine Red SW;30.09.2025;ROH;2043;KG;234;D;PD;3000;V;1352700,43;MXN;1000;SZEGEDI;;
5745;2830;;Iriodin 9211 Rutile Fine Red SW;30.09.2025;ROH;2043;KG;296;D;PD;3000;V;582132,67;CNY;1000;SZEGEDI;;
5745;2850;;Iriodin 9211 Rutile Fine Red SW;30.09.2025;ROH;2043;KG;293;D;PD;3000;V;582127,47;CNY;1000;SZEGEDI;;
5745;300;;Iriodin 9211 Rutile Fine Red SW;30.09.2025;ROH;2043;KG;30;A;PD;3000;V;0;EUR;1000;SZEGEDI;;
5745;800;;Iriodin 9211 Rutile Fine Red SW;30.09.2025;ROH;2043;KG;80;D;PD;3000;V;58030;EUR;1000;SZEGEDI;;
5746;200;;(Z) Radglo PS 36 Cerise;03.06.2025;ROH;2090;KG;20;C;PD;3000;V;26902,47;EUR;1000;SZEGEDI;;
5746;300;;(Z) Radglo PS 36 Cerise;03.06.2025;ROH;2090;KG;30;C;PD;3000;V;0;EUR;1000;SZEGEDI;;
5747;200;;(Z) ULTRAMARINVIOLETT 11;03.06.2025;ROH;2014;KG;9;Z;ND;3000;V;3000;EUR;1000;ROLF;;
5747;300;;(Z) ULTRAMARINVIOLETT 11;03.06.2025;ROH;2014;KG;9;Z;ND;3000;V;3000;EUR;1000;ROLF;;
5748;200;;(U) SICOFLUSH L ROT 2817 C 4;03.06.2025;ROH;2073;KG;9;Z;ND;3000;V;8330;EUR;1000;ROLF;;
5748;300;;(U) SICOFLUSH L ROT 2817 C 4;03.06.2025;ROH;2073;KG;9;Z;ND;3000;V;8330;EUR;1000;ROLF;;
5749;200;;(P) Novoperm Orange H 5 G 70;14.10.2025;ROH;2012;KG;20;A;PD;3000;V;31247,41;EUR;1000;ROLF;;
