Lieferant;Name des Lieferanten;Straße;Lnd;PLZ;Ort;Gruppe;Suchbegriff;S;SF;LöVm;CPD-Konto;EkOr;Bezeichnung;ZBed;IncTm;Inco. 2;S_1;L;MindWert;Währ.;Verkäufer;Telefon;EkOr_2;Anzahl
64217;xxx Raidex GmbH;Neuhäuser Str. 17;DE;72581;Dettingen/Erms;1;(L) RAIDEX;X;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64218;Gehrke Fritz W.A.;Burladinger Straße 1;DE;72501;Gammertingen;1;GEHRKE;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
64219;xxx Schütz - Werke GmbH & Co.KG;Bahnhofstr. 25;DE;56242;Selters;1;SCHÜTZ;X;;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64220;xxx Hans Kolb;Dr. Lauter-Straße 2;DE;87700;Memmingen;1;(L) KOLB;X;3;X;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64221;H S Laborbedarf Andrea Lange;Ernst-Abbe-Str. 21;DE;72770;Reutlingen;1;H S LABORB;X;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64222;xxx Akzo Nobel Powder Coatings GmbH;Markwiesenstr. 50;DE;72770;Reutlingen;1;(L) AKZO N;X;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64223;xxx Interpolymer GmbH;Dr. Wirth-Str. 9 a;DE;67454;Haßloch;1;(L) INTERP;X;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64234;xxx Breuer Alex GmbH;Dieselstr. 15;DE;50859;Köln;1;(L) BREUER;X;99;;;1000;Zentraleinkauf;31;DDP;;X;;0;EUR;;;;1
64244;NeoLab Migge GmbH;Rischerstr. 7-9;DE;69123;Heidelberg;1;NEOLAB;;;;;1000;Zentraleinkauf;39;EXW;;;;0;EUR;;;;1
64252;Otto Ganter GmbH u. Co. KG;Triberger Str. 3;DE;78120;Furtwangen;1;GANTER;;;;;1000;Zentraleinkauf;;;;;;0;EUR;;;;1
64259;xxx BASF Coatings Services GmbH;Dechenstr. 13;DE;44147;Dortmund;1;(L) BASF;X;99;;;1000;Zentraleinkauf;22;DDP;;X;;0;EUR;;;;1
64272;Coffema International GmbH;Obenhauptstr. 7;DE;22335;Hamburg;1;COFFEMA;;;;;1000;Zentraleinkauf;;;;;;0;EUR;;;;1
64279;DVV Media Group GmbH;Nordkanalstr. 36;DE;20097;Hamburg;1;DVV MEDIA;;;;;1000;Zentraleinkauf;31;;;;;0;EUR;;;;1
64283;Willis GmbH & Co.KG;Gotenstr. 12;DE;20097;Hamburg;1;WILLIS;X;;;;1000;Zentraleinkauf;;DDP;;X;;0;EUR;;;;1
64309;BARTEC Europe GmbH;Max-Eyth-Str. 16;DE;97980;Bad Mergentheim;1;BARTEC;;;;;1000;Zentraleinkauf;39;EXW;Hamburg;;;0;EUR;;;;1
64315;Benkert GmbH;Leite 1;DE;97486;Königsberg in Bayern;1;BENKERT;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
64330;Sigma Laborzentrifugen GmbH;An der unteren Söse 50;DE;37520;Osterode am Harz;1;SIGMA LABO;;;;;1000;Zentraleinkauf;31;UN;;;;0;EUR;;;;1
64356;Berges Antriebstechnik GmbH u. Co;industriestr. 13;DE;51709;Marienheide;1;BERGES;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64364;Mondo Minerals B.V.;Kajuitweg 8;NL;1041;Amsterdam;1;ELEMENTIS;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64368;Olympus Deutschland GmbH;Caffamacherreihe 8-10;DE;20355;Hamburg;1;OLYMPUS;;;;;1000;Zentraleinkauf;39;DAP;;;;0;EUR;;;;1
64370;Ditter Plastic GmbH & Co. KG;Hausacher Str. 21;DE;77716;Haslach i.K;1;DITTER;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;Herr Schneider;;;1
64372;Behrens, Günter;Kaanmoor 12;DE;27389;Fintel;1;BEHRENS;;;;;1000;Zentraleinkauf;198;DDP;;;;0;EUR;Günter Behrens;04265-6111646;;1
64385;Handke Industrietechnik GmbH;Siemensstr. 26;DE;30827;Garbsen;1;HANDKE;;;;;1000;Zentraleinkauf;31;;;;;0;EUR;;;;1
64394;Strema Maschinenbau;Kauerhofer Straße 4a;DE;92237;Sulzbach-Rosenberg;1;STREMA;;;;;1000;Zentraleinkauf;39;EXW;;;;0;EUR;;;;1
64413;Brinkmann Ralf GmbH;Alfred-Nobel-Strasse 13;DE;41515;Grevenbroich;1;BRINKMANN;;;;;1000;Zentraleinkauf;;;;;;0;EUR;;;;1
64420;ITW Oberflächentechnik;Justus-von-Liebig Strasse 31;DE;63128;Dietzenbach;1;ITW;X;;;;1000;Zentraleinkauf;31;DDP;;X;;0;EUR;;;;1
64423;KBA-MetalPrint GmbH;Wernerstr. 119-129;DE;70435;Stuttgart;1;KBA;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;;;;1
64425;AS-Wägetechnik GmbH;Veit-Adam-Strasse 31;DE;85354;Freising;1;AS;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
64428;Bär GmbH & Co. KG;Ausschläger Billdeich 6;DE;20539;Hamburg;1;BÄR;;;;;1000;Zentraleinkauf;31;;;;;0;EUR;;;;1
64438;Hachemie Hamburger Chemikalien GmbH;Steinhöft 5-7;DE;20459;Hamburg;1;(L) HACHEM;;3;;;1000;Zentraleinkauf;39;DDP;;X;;0;EUR;;;;1
64461;Exel Lackier- u. Beschichtungssyste;Moselstr. 19;DE;41464;Neuss;1;XXX EXEL L;;;;;1000;Zentraleinkauf;22;DDP;;;;0;EUR;;;;1
64464;Dura Adwest Köhler GmbH;Lindenweg 2;DE;59558;Lippstadt;1;DURA;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64465;Texet Deutschland GmbH;Celler Str. 1;DE;27374;Visselhövede;1;TEXET;;;;;1000;Zentraleinkauf;1;DDP;;;;0;EUR;;;;1
64468;Audi Zentrum Hamburg;Kollaustr. 41 - 63;DE;22529;Hamburg;1;AUDI;;;;;1000;Zentraleinkauf;90;DDP;;;;0;EUR;;;;1
64504;Ziegler Metallbearbeitung AG;Gewerbepark am See 1;DE;1920;Nebelschütz;1;ZIEGLER;;;;;1000;Zentraleinkauf;1;;;;;0;EUR;;;;1
64517;Friess Nespoli GmbH;Amperestraße 2;DE;91550;Dinkelsbühl;1;FRIESS;X;;;;1000;Zentraleinkauf;31;DDP;;X;;0;EUR;;;;1
64546;VMS Transporte;Wangstr. 2;DE;72813;St.Johann;1;VMS RÜ;X;;;;1000;Zentraleinkauf;;;;X;;0;EUR;;;;1
64551;xxx UPPC GmbH;Schemmerberger Str. 39;DE;88487;Mietingen-Baltringen;1;(L) UPPC;X;3;;;1000;Zentraleinkauf;198;DDP;;X;;0;EUR;;;;1
64595;Waldmann GmbH & Co.KG;Peter-Henlein-Str. 5;DE;78056;Villingen-Schwenningen;1;WALDMANN;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64598;ratioform Verpackungsmittel E. Voge;Albert-Einstein-Str. 3;DE;30926;Seelze;1;RATIOFORM;;;;;1000;Zentraleinkauf;1;DDP;;;;0;EUR;;;;1
64603;IGO-POST GmbH;Von-Kettler-Str. 10;DE;47906;Kempen;1;IGO;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
64608;nordeko SAFETY eK;Brookstieg 19;DE;22145;Stapelfeld;1;NORDEKO;;;;;1000;Zentraleinkauf;1;DDP;;;;0;EUR;;;;1
64614;Produkt Idee;Graf-Adolf-Str. 114;DE;42119;Wuppertal;1;PRODUKT;;;;;1000;Zentraleinkauf;90;DDP;;;;0;EUR;;;;1
64622;Köhler Automobiltechnik GmbH;Lindenweg 2;DE;59558;Lippstadt;1;KÖHLER;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;;;;1
64677;Lohmann Laborservice GmbH;Hinter der bahn 17;DE;21439;Marxen;1;LOHMANN;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
